6453,26/09/2019 20:00,0.00011,0.00488,0.00499,0.144,0.02579,MS,MS,1.241,5.084,N,13.22,329.489,0.00024,0.00033,0.00255,0.00288,0.143,0.02759,0.596,6.005,80.749,11.221,327.826,0.179,3.393,3.594,0.13,26.44,MS,-1.473,78.891,8.844,312.34
6454,26/09/2019 21:00,0.00025,0.00692,0.00717,0.156,0.02441,MS,MS,2.142,4.527,N,11.024,294.367,0.00012,0.00047,0.00268,0.00315,0.17,0.02623,0.143,4.975,92.416,9.966,279.913,0.012,2.967,3.001,0.139,27.16,MS,-1.608,82.165,7.213,296.931
6455,26/09/2019 22:00,0.0002,0.00765,0.00785,0.159,0.02267,MS,MS,1.959,4.206,N,9.876,308.629,0.00003,0.00029,0.00253,0.00283,0.24,0.02539,0.096,4.232,99.732,7.146,284.493,0.044,3.893,3.962,0.137,24.769,MS,-1.438,83.201,6.722,310.76
6456,26/09/2019 23:00,0.00014,0.00236,0.0025,0.13,0.02616,MS,MS,0.913,4.252,N,14.064,319.886,0,0.00035,0.00299,0.00334,0.181,0.02453,0.199,4.501,93.318,10.252,321.214,0.062,2.131,2.217,0.116,26.352,MS,-1.195,74.93,7.597,311.085
6457,27/09/2019 0:00,0.00011,0.00311,0.00323,0.126,0.02361,MS,MS,1.011,3.79,N,11.258,315.614,0.00006,0.0003,0.00254,0.00284,0.141,0.02431,0.253,4.4,88.806,8.464,293.539,-0.002,2.21,2.233,0.119,24.361,MS,-1.73,78.482,6.183,288.318
6458,27/09/2019 1:00,0.00011,0.00239,0.0025,0.125,0.02379,MS,MS,0.891,4.056,N,11.73,324.209,-0.00001,0.00028,0.00193,0.00221,0.135,0.02443,0.197,4.367,88.951,10.599,314.861,0.233,1.868,2.127,0.111,25.265,MS,-1.721,75.99,12.913,321.737
6459,27/09/2019 2:00,0.00013,0.00243,0.00256,0.128,0.02405,MS,MS,1.233,4.139,N,17.156,328.078,Z,Z,Z,Z,Z,Z,0.311,4.66,85.709,14.545,326.602,0.362,1.897,2.286,0.11,25.974,MS,-0.843,74.347,15.717,327.743
6460,27/09/2019 3:00,0.00039,0.00315,0.00355,0.128,0.02306,MS,MS,1.67,3.92,N,13.131,318.533,0.00008,0.00027,0.00152,0.00179,0.126,0.02564,0.455,4.507,84.87,13.714,316.531,Z,Z,Z,0.108,25.32,MS,-0.709,75.057,10.668,313.53
6461,27/09/2019 4:00,Z,Z,Z,Z,Z,MS,MS,2.293,4.018,N,12.018,315,0.00016,0.00078,0.00319,0.00397,0.135,0.02211,0.538,3.943,88.652,10.619,279.168,0.121,2.698,2.848,Z,Z,MS,0.395,71.505,11.812,315.741
6462,27/09/2019 5:00,0.00012,0.0035,0.00362,0.132,0.02498,MS,MS,3.265,4.121,N,12.19,311.413,0.00014,0.0009,0.00373,0.00463,0.138,0.02037,0.886,3.734,90.763,10.447,293.905,0.016,2.558,2.601,0.118,25.866,MS,1.386,71.795,9.765,305.262
6463,27/09/2019 6:00,0.00019,0.0036,0.00379,0.141,0.02413,MS,MS,3.566,3.964,N,15.478,319.738,0.00014,0.00084,0.00441,0.00525,0.14,0.02355,1.572,4.355,82.531,13.982,325.98,0.044,3.408,3.48,0.123,24.54,MS,1.834,73.179,8.469,299.042
6464,27/09/2019 7:00,0.00033,0.00497,0.0053,0.156,0.02156,MS,MS,4.149,3.858,N,13.991,323.759,0.00014,0.00205,0.00507,0.00713,0.148,0.02253,1.784,4.303,83.381,14.278,328.55,0.558,5.155,5.741,0.133,22.145,MS,1.919,74.326,7.455,301.88
6465,27/09/2019 8:00,0.00092,0.0078,0.00872,0.173,0.01793,MS,MS,3.137,3.477,N,14.704,343.791,0.00015,0.00436,0.01038,0.01474,0.169,0.01639,2.276,3.989,92.799,14.083,343.173,1.09,6.253,7.371,0.136,20.524,MS,2.278,79.007,8.96,324.823
6466,27/09/2019 9:00,0.00104,0.00799,0.00902,0.183,0.01593,MS,MS,3.8,3.161,N,11.427,332.53,0.00005,0.00305,0.01039,0.01345,0.174,0.01511,1.824,3.506,100.065,11.004,335.041,1.844,6.293,8.164,0.139,19.683,MS,1.899,83.663,8.667,328.699
6467,27/09/2019 10:00,0.00243,0.0088,0.01123,0.209,0.01398,MS,MS,2.929,2.87,N,9.915,351.191,0.00008,0.00538,0.01206,0.01745,0.184,0.01254,2.165,3.444,100.045,9.37,346.669,1.353,6.736,8.116,0.144,17.976,MS,0.889,87.191,6.09,331.836
6468,27/09/2019 11:00,0.00684,0.01066,0.0175,0.232,0.01043,MS,MS,3.894,2.295,N,10.319,2.852,0.00016,0.01229,0.01303,0.02533,0.242,0.01009,2.993,3.106,100,10.732,11.092,1.511,4.636,6.174,0.149,16.682,MS,-0.251,89.075,6.598,20.05
6469,27/09/2019 12:00,0.00707,0.00984,0.01691,0.22,0.01024,MS,MS,4.15,3.001,N,10.275,13.327,0.00026,0.00827,0.00805,0.01632,0.187,0.01259,1.712,3.551,100,11.442,21.455,1.515,3.712,5.255,0.145,15.804,MS,0.024,89.723,7.017,15.725
6470,27/09/2019 13:00,0.00344,0.00647,0.00992,0.188,0.01273,MS,MS,2.91,2.98,N,10.871,40.867,0.00011,0.00607,0.00584,0.01191,0.172,0.01263,1.378,3.426,100,11.461,38.203,2.356,4.935,7.318,0.154,13.037,MS,-0.093,90.177,7.368,37.694
6471,27/09/2019 14:00,0.0013,0.00309,0.00439,0.16,0.01952,MS,MS,3.51,3.278,N,15.797,55.408,0.00008,0.00474,0.00479,0.00953,0.167,0.01561,1.801,3.771,100,11.993,50.293,2.405,5.387,7.819,0.15,17.397,MS,2.046,89.013,11.371,55.95
6472,27/09/2019 15:00,0.00132,0.00401,0.00533,0.167,0.01986,MS,MS,3.822,3.284,N,12.252,55.961,0.00005,0.00358,0.00555,0.00913,0.156,0.01758,2.408,3.531,100,8.536,78.382,1.65,5.099,6.776,0.16,19.812,MS,2.295,87.591,8.933,71.668
6473,27/09/2019 16:00,0.00108,0.00427,0.00534,0.167,0.02009,MS,MS,3.04,4.175,N,9.747,56.783,0.00008,0.00268,0.00371,0.0064,0.167,0.0208,1.878,3.977,100.072,12.58,48.186,1.285,6.028,7.34,0.169,19.96,MS,1.828,81.973,6.68,75.608
6474,27/09/2019 17:00,0.00083,0.00332,0.00415,0.143,0.02527,MS,MS,2.085,4.506,N,19.551,45.101,0.00011,0.00163,0.00395,0.00558,0.148,0.02486,1.059,4.533,83.314,16.024,45.86,1.001,4.369,5.396,0.142,24.936,MS,0.928,67.231,13.685,43.944
6475,27/09/2019 18:00,0.00071,0.00371,0.00442,0.137,0.02146,MS,MS,2.994,3.193,N,23.806,38.866,0.00016,0.00097,0.00159,0.00256,0.133,0.02281,1.817,3.582,86.007,18.82,35.783,0.649,2.626,3.302,0.126,22.178,MS,1.765,75.48,19.265,29.8
6476,27/09/2019 19:00,0.00051,0.00359,0.00411,0.134,0.01934,MS,MS,3.839,1.573,N,23.379,32.93,0.00011,0.00046,0.00085,0.00131,0.123,0.02202,1.786,2.067,92.195,20.688,31.816,0.442,2.484,2.953,0.12,21.303,MS,3.584,77.948,18.412,16.964
6477,27/09/2019 20:00,0.00051,0.00357,0.00408,0.128,0.0195,MS,MS,6.007,0.694,N,22.311,22.125,0.00008,0.00037,0.00061,0.00098,0.169,0.02289,2.126,1.029,91.1,19.439,29.866,0.418,3.45,3.894,0.123,18.915,MS,19.992,85.1,17.896,358.646
6478,27/09/2019 21:00,0.00044,0.00361,0.00405,0.131,0.01985,MS,MS,8.119,-0.675,N,20.734,14.381,0.00008,0.00031,0.00067,0.00098,0.117,0.02168,4.378,-0.005,99.983,19.7,20.607,0.392,4.029,4.447,0.127,20.499,MS,18.829,88.63,16.675,352.251
6479,27/09/2019 22:00,0.0003,0.00269,0.00298,0.126,0.02225,MS,MS,2.764,-1.491,N,22.276,22.498,0.00013,0.00039,0.00059,0.00098,0.116,0.02327,3.206,-1.171,100.014,18.508,27.497,0.382,2.83,3.238,0.116,23.042,MS,4.572,87.105,17.06,5.654
6480,27/09/2019 23:00,0.00016,0.00195,0.00211,0.115,0.02693,MS,MS,2.81,-1.97,N,21.777,28.823,0.00018,0.00022,0.00019,0.00042,0.114,0.02785,2.408,-1.9,100.055,18.659,26.288,0.292,2.189,2.508,0.11,27.037,MS,0.584,82.186,13.426,9.316
6481,28/09/2019 0:00,0.00011,0.00285,0.00296,0.116,0.02853,MS,MS,2.687,-1.667,N,12.932,25.267,0.0002,0.00012,0.00041,0.00054,0.111,0.02928,2.287,-1.689,100.1,14.374,20.222,0.372,2.401,2.799,0.107,29.19,MS,0.646,77.433,10.223,21.027
6482,28/09/2019 1:00,0.00004,0.00244,0.00248,0.115,0.02945,MS,MS,3.502,-1.6,N,13.403,2.39,0.00003,0.0001,0.00095,0.00105,0.109,0.02973,2.454,-1.443,100.074,13.076,12.157,0.32,2.777,3.123,0.104,28.883,MS,2.045,75.516,8.2,346.853
6483,28/09/2019 2:00,0.00007,0.00365,0.00371,0.117,0.02451,MS,MS,15.29,-1.669,N,15.012,349.109,Z,Z,Z,Z,Z,Z,9.887,-1.393,99.894,11.605,359.933,0.406,3.447,3.879,0.107,26.203,MS,9.18,78.564,9.447,341.441
6484,28/09/2019 3:00,0.0001,0.0025,0.0026,0.118,0.02662,MS,MS,10.167,-1.906,N,16.827,7.735,0.00018,0.00036,0.00242,0.00279,0.118,0.0264,10.682,-1.668,100.1,15.908,10.921,Z,Z,Z,0.106,26.588,MS,7.554,77.973,8.859,356.792
6485,28/09/2019 4:00,0.00012,0.00266,0.00278,0.129,0.02584,MS,MS,9.418,-2.36,N,16.481,17.234,0.00009,0.00041,0.00198,0.00239,0.115,0.02496,7.966,-2.082,100.015,13.023,27.231,0.27,2.849,3.144,Z,Z,MS,7.156,83.455,11.462,4.966
6486,28/09/2019 5:00,0.00009,0.00277,0.00286,0.124,0.02745,MS,MS,4.278,-2.807,N,12.214,33.937,0.00021,0.00068,0.00283,0.00351,0.113,0.0268,2.412,-2.653,100,11.026,40.547,0.319,2.537,2.879,0.103,29.026,MS,2.879,85.04,9.82,16.668
6487,28/09/2019 6:00,0.00007,0.00355,0.00363,0.127,0.02831,MS,MS,3.838,-2.89,N,8.604,19.159,0.00014,0.00043,0.0036,0.00404,0.117,0.02621,2.545,-2.727,100.008,8.608,23.793,0.346,3.268,3.635,0.109,29.207,MS,2.056,84.598,7.069,31.638
6488,28/09/2019 7:00,C,C,C,C,C,MS,MS,5.981,-2.518,N,10.045,13.826,0.00017,0.00085,0.00648,0.00733,0.12,0.0229,5.792,-2.439,100.064,10.814,12.476,0.278,3.833,4.132,0.111,26.564,MS,4.388,84.2,6.706,5.53
6489,28/09/2019 8:00,0.0005,0.00703,0.00752,0.156,0.02236,MS,MS,6.061,-2.324,N,9.875,10.661,0.00001,0.00125,0.00629,0.00755,0.123,0.02278,6.504,-2.267,100.096,11.646,11.008,0.358,4.269,4.646,0.119,24.889,MS,5.678,85.547,6.817,359.331
6490,28/09/2019 9:00,0.00061,0.00474,0.00535,0.139,0.02531,MS,MS,4.519,-2.485,N,10.996,38.552,0.00011,0.00163,0.00428,0.00591,0.124,0.02435,5.283,-2.237,100.081,11.21,21.629,0.632,4.008,4.658,0.12,24.871,MS,4.787,83.471,6.136,10.447
6491,28/09/2019 10:00,0.00081,0.0044,0.00521,0.145,0.02662,MS,MS,3.384,-2.982,N,12.099,55.006,0.00004,0.00153,0.00331,0.00485,0.125,0.02703,3.337,-2.195,100.085,11.965,36.994,0.761,2.818,3.593,0.117,27.334,MS,3.221,81.673,8.692,13.632
6492,28/09/2019 11:00,0.00086,0.00282,0.00368,0.137,0.02954,MS,MS,3.301,-2.503,N,12.304,60.407,0.00012,0.00143,0.00183,0.00327,0.118,0.03046,2.629,-1.868,100.1,12.261,44.97,1.269,3.745,5.024,0.12,28.863,MS,2.035,81.948,9.469,57.433
6493,28/09/2019 12:00,0.00098,0.0028,0.00378,0.139,0.02896,MS,MS,3.903,-2.03,N,11.738,44.318,0.00009,0.0014,0.00194,0.00335,0.117,0.02959,3.175,-1.348,100.1,10.332,33.119,1.386,3.944,5.342,0.122,30.106,MS,2.348,77.565,8.318,56.786
6494,28/09/2019 13:00,0.00097,0.00298,0.00395,0.14,0.02707,MS,MS,3.937,-1.582,N,15.301,46.465,0.00015,0.00212,0.00356,0.00567,0.119,0.02606,3.786,-1.11,99.151,12.369,34.301,1.56,3.932,5.503,0.118,27.643,MS,3.555,76.682,8.031,35.383
6495,28/09/2019 14:00,0.00097,0.00265,0.00362,0.135,0.02884,MS,MS,2.497,-1.261,N,12.18,38.341,0.00017,0.00184,0.00219,0.00404,0.12,0.0284,2.946,-0.731,93.848,10.654,31.623,1.075,3.105,4.194,0.112,29.23,MS,1.794,70.523,8.965,37.116
6496,28/09/2019 15:00,0.0008,0.00244,0.00323,0.138,0.02859,MS,MS,2.043,-1.418,N,11.025,41.318,0.00002,0.00121,0.00112,0.00233,0.114,0.02864,2.105,-0.844,99.593,10.301,25.486,0.919,2.466,3.393,0.118,29.706,MS,1.41,75.447,7.474,16.741
6497,28/09/2019 16:00,0.00073,0.00328,0.00402,0.156,0.02726,MS,MS,1.685,-1.796,N,10.327,50.718,0.00005,0.00065,0.00065,0.00129,0.114,0.02887,1.208,-0.855,100.074,10.363,30.982,0.756,2.673,3.434,0.122,28.897,MS,1.75,81.699,8.31,8.197
6498,28/09/2019 17:00,0.00057,0.00418,0.00475,0.163,0.02596,MS,MS,2.488,-1.796,N,9.966,40.936,-0.00002,0.00078,0.00115,0.00194,0.115,0.02799,1.218,-0.724,100.093,9.908,30.794,0.644,3.286,3.936,0.124,28.185,MS,1.109,80.253,8.12,27.242
6499,28/09/2019 18:00,0.00037,0.00444,0.00481,0.165,0.02559,MS,MS,2.323,-1.504,N,9.555,37.789,-0.00006,0.00029,0.00081,0.0011,0.112,0.02847,1.096,-0.926,100.094,10.889,27.408,0.568,3.841,4.414,0.129,26.965,MS,1.39,85.526,8.458,21.516
6500,28/09/2019 19:00,0.00019,0.00518,0.00537,0.164,0.02499,MS,MS,2.795,-1.617,N,10.46,32.219,-0.00008,0.00022,0.00158,0.00181,0.114,0.02721,1.544,-1.163,100.038,10.757,25.134,0.429,4.379,4.811,0.131,26.513,MS,1.856,88.568,6.834,18.951
6501,28/09/2019 20:00,0.00016,0.00515,0.00531,0.154,0.02478,MS,MS,2.429,-1.67,N,10.816,21.351,-0.00001,0.00026,0.0023,0.00257,0.116,0.02613,1.6,-1.427,100.002,11.048,18.517,0.383,4.064,4.449,0.128,26.457,MS,1.593,87.265,8.045,18.365
6502,28/09/2019 21:00,0.00012,0.00452,0.00464,0.149,0.02417,MS,MS,2.734,-1.782,N,12.781,25.696,-0.00005,0.00021,0.00212,0.00233,0.115,0.02513,1.792,-1.462,100,11.596,22.032,0.477,4.126,4.603,0.126,25.427,MS,1.515,89.319,6.902,27.855
6503,28/09/2019 22:00,0.00016,0.0048,0.00496,0.144,0.02227,MS,MS,4.22,-1.926,N,12.721,31.588,-0.00003,0.00036,0.00236,0.00271,0.119,0.02365,2.897,-1.601,100,11.892,26.687,0.567,3.818,4.385,0.122,24.288,MS,2.779,90.258,8.738,29.549
6504,28/09/2019 23:00,0.00012,0.0036,0.00372,0.137,0.02271,MS,MS,2.086,-2.199,N,13.848,39.885,0,0.00027,0.00119,0.00147,0.116,0.02387,1.673,-1.849,100,11.156,36.466,0.634,3.433,4.065,0.119,23.938,MS,1.235,90.396,10.196,41.697
6505,29/09/2019 0:00,0.00009,0.00348,0.00357,0.135,0.0223,MS,MS,1.623,-2.279,N,11.756,35.977,-0.00008,0.00025,0.00113,0.00138,0.118,0.02336,1.21,-1.992,100,9.567,31.204,0.673,4.115,4.785,0.119,22.521,MS,0.872,91.268,8.36,50.786
6506,29/09/2019 1:00,0.00009,0.00309,0.00318,0.131,0.02195,MS,MS,1.996,-2.333,N,13.482,37.344,-0.00007,0.00028,0.00128,0.00156,0.117,0.02265,1.616,-2.037,100,11.723,26.7,0.668,3.6,4.263,0.117,22.347,MS,1.867,92.437,9.298,49.971
6507,29/09/2019 2:00,0.00007,0.00336,0.00343,0.128,0.02129,MS,MS,2.73,-2.416,N,11.289,29.233,Z,Z,Z,Z,Z,Z,1.794,-2.173,100,11.787,24.806,0.62,3.725,4.339,0.114,22.051,MS,3.561,92.544,7.587,31.49
6508,29/09/2019 3:00,0.00011,0.00396,0.00406,0.128,0.01998,MS,MS,2.041,-2.397,N,12.347,16.178,-0.00001,0.00033,0.00279,0.00311,0.118,0.02087,3.253,-2.155,100,12.785,16.418,Z,Z,Z,0.111,21.216,MS,1.813,92.488,9.075,16.867
6509,29/09/2019 4:00,Z,Z,Z,Z,Z,MS,MS,2.195,-2.456,N,10.565,31.067,-0.00004,0.00059,0.00227,0.00287,0.119,0.02124,2.564,-2.189,100,11.844,22.468,0.543,3.519,4.054,Z,Z,MS,1.314,92.551,8.759,21.317
6510,29/09/2019 5:00,0.00009,0.0037,0.0038,0.127,0.02119,MS,MS,1.762,-2.565,N,7.938,65.281,-0.00006,0.00069,0.00257,0.00326,0.118,0.02081,1.957,-2.275,100,12.884,23.646,0.669,4.037,4.7,0.114,21.053,MS,1.148,92.199,7.748,29.392
6511,29/09/2019 6:00,0.00018,0.00462,0.0048,0.13,0.01948,MS,MS,1.831,-2.587,N,11.478,15.618,-0.00002,0.00044,0.00207,0.0025,0.119,0.02079,2.258,-2.301,100,12.696,16.717,0.507,3.774,4.274,0.121,20.906,MS,1.432,91.945,8.754,15.922
6512,29/09/2019 7:00,0.00025,0.00449,0.00475,0.132,0.01977,MS,MS,1.534,-2.664,N,13.723,24.611,-0.00004,0.00047,0.00256,0.00303,0.119,0.02023,2.375,-2.306,100,14.747,19.847,0.596,3.616,4.204,0.118,20.998,MS,1.283,91.496,10.324,21.056
6513,29/09/2019 8:00,0.00054,0.0038,0.00433,0.13,0.02192,MS,MS,1.206,-2.788,N,15.44,19.401,0,0.0009,0.00198,0.00288,0.117,0.02236,1.602,-2.313,100.001,16.06,18.738,0.72,2.996,3.711,0.117,22.95,MS,0.645,89.556,11.42,15.227
6514,29/09/2019 9:00,0.00082,0.00381,0.00462,0.136,0.02561,MS,MS,0.965,-2.949,N,15.856,12.639,0.00003,0.002,0.0039,0.0059,0.129,0.02395,1.352,-2.321,100.006,15.416,12.897,0.732,2.548,3.273,0.115,27.363,MS,0.118,87.903,11.339,12.826
6515,29/09/2019 10:00,0.00122,0.00387,0.0051,0.138,0.02606,MS,MS,0.957,-2.781,N,15.483,3.924,0.00007,0.00184,0.0033,0.00514,0.148,0.02568,1.275,-2.316,100,15.205,6.031,0.914,2.428,3.336,0.119,28.091,MS,0.135,87.219,10.415,356.422
6516,29/09/2019 11:00,0.00146,0.00376,0.00522,0.15,0.02462,MS,MS,1.133,-2.459,N,16.179,2.593,0,0.0028,0.00338,0.00618,0.153,0.02386,1.803,-2.05,100,16.362,7.644,1.085,2.337,3.416,0.118,26.656,MS,0.137,88.419,11.551,353.704
6517,29/09/2019 12:00,0.00163,0.00396,0.00558,0.152,0.02309,MS,MS,1.329,-2.195,N,16.984,2.516,-0.00004,0.00306,0.00348,0.00654,0.143,0.0226,1.888,-1.761,100,17.574,2.323,1.186,2.649,3.829,0.125,25.155,MS,0.533,89.053,11.468,353.737
6518,29/09/2019 13:00,0.00167,0.00376,0.00543,0.157,0.02414,MS,MS,1.363,-2.195,N,16.753,10.466,0.00001,0.00308,0.00318,0.00626,0.146,0.02346,1.831,-1.649,100,16.961,8.112,1.211,2.717,3.924,0.127,24.794,MS,0.819,90.512,10.659,5.632
6519,29/09/2019 14:00,0.00171,0.00379,0.0055,0.148,0.02591,MS,MS,1.066,-2.19,N,17.901,9.09,0.00014,0.00184,0.00153,0.00336,0.142,0.0266,1.285,-1.635,100,17.704,7.948,1.063,2.412,3.47,0.124,27.344,MS,0.162,90.559,10.673,1.494
6520,29/09/2019 15:00,0.00196,0.00478,0.00674,0.164,0.025,MS,MS,1.169,-1.941,N,9.583,358.664,0.00011,0.00209,0.00214,0.00423,0.142,0.02665,0.986,-1.445,100,18.672,7.924,0.927,2.523,3.445,0.124,27.41,MS,0.455,90.708,10.653,355.374
6521,29/09/2019 16:00,0.00198,0.00355,0.00554,0.161,0.02641,MS,MS,1.163,-1.737,N,15.486,9.903,0.00003,0.00199,0.00145,0.00343,0.136,0.02743,0.959,-1.076,100.024,19.134,11.06,1.103,2.546,3.644,0.125,28.015,MS,1.083,90.423,11.812,354.834
6522,29/09/2019 17:00,0.00094,0.00435,0.0053,0.158,0.02584,MS,MS,1.524,-1.842,N,17.05,21.901,0.00024,0.00123,0.0017,0.00293,0.125,0.02698,1.066,-1.163,100.017,18.932,16.164,0.734,2.864,3.592,0.124,27.514,MS,0.833,88.842,12.051,358.842
6523,29/09/2019 18:00,0.00039,0.0042,0.0046,0.147,0.02619,MS,MS,1.389,-2.052,N,16.678,15.101,0.00018,0.00045,0.00149,0.00193,0.119,0.02714,1.244,-1.413,100.004,17.285,17.397,0.502,3.298,3.796,0.123,27.318,MS,0.472,88.596,11.152,14.888
6524,29/09/2019 19:00,0.00024,0.00404,0.00428,0.138,0.02675,MS,MS,1.189,-2.156,N,17.2,15.847,0.00016,0.00034,0.00186,0.0022,0.122,0.02668,1.317,-1.582,100,16.522,15.322,0.458,3.408,3.861,0.125,27.584,MS,0.384,89.461,10.971,16.85
6525,29/09/2019 20:00,0.00023,0.00515,0.00538,0.141,0.02535,MS,MS,1.282,-2.144,N,14.372,18.704,0.00005,0.00029,0.00171,0.002,0.125,0.02697,1.083,-1.822,100,14.497,16.751,0.437,3.862,4.294,0.124,27.438,MS,0.3,90.92,9.563,5.694
6526,29/09/2019 21:00,0.00015,0.00488,0.00503,0.139,0.02616,MS,MS,1.275,-2.234,N,11.816,24.57,0.00017,0.00038,0.0016,0.00198,0.123,0.02748,0.937,-2.03,100,14.16,16.387,0.424,3.639,4.059,0.125,27.719,MS,0.552,92.919,8.874,19.132
6527,29/09/2019 22:00,0.00015,0.00469,0.00484,0.134,0.02763,MS,MS,1.02,-2.379,N,12.68,18.272,0.00015,0.00019,0.00103,0.00122,0.119,0.02869,0.864,-2.122,100,14.045,18.378,0.361,4.484,4.84,0.126,26.038,MS,0.678,93.637,4.967,2.291
6528,29/09/2019 23:00,0.00032,0.0096,0.00992,0.141,0.02256,MS,MS,1.594,-2.296,N,11.326,9.019,0.00011,0.00027,0.00356,0.00383,0.142,0.02591,1.339,-2.152,100,10.189,12.082,0.362,3.779,4.136,0.119,27.395,MS,1.45,94.493,7.632,15.514
6529,30/09/2019 0:00,0.00015,0.00458,0.00473,0.132,0.02808,MS,MS,1.789,-2.55,N,13.853,13.615,0.00036,0.00063,0.00402,0.00466,0.141,0.02571,2.743,-2.246,100,11.894,13.718,0.289,2.296,2.581,0.113,30.93,MS,0.463,94.372,10.074,13.092
6530,30/09/2019 1:00,0.00011,0.00402,0.00413,0.126,0.02862,MS,MS,1.241,-2.675,N,14.633,12.072,0.0002,0.00062,0.00317,0.00378,0.152,0.02712,1.7,-2.344,100,13.067,9.336,0.26,2.647,2.903,0.111,29.732,MS,0.285,94.038,7.149,3.264
6531,30/09/2019 2:00,0.00012,0.00502,0.00514,0.13,0.02719,MS,MS,1.207,-2.731,N,12.349,10.917,Z,Z,Z,Z,Z,Z,1.492,-2.406,100,11.394,9.633,0.184,3.021,3.202,0.114,28.696,MS,0.304,93.919,5.612,352.66
6532,30/09/2019 3:00,0.00021,0.00756,0.00778,0.13,0.0237,MS,MS,1.406,-2.818,N,9.565,4.368,0.00017,0.00069,0.00523,0.00592,0.171,0.02452,1.544,-2.531,100,10.885,8.201,Z,Z,Z,0.111,28.082,MS,0.408,93.55,5.171,340.414
6533,30/09/2019 4:00,Z,Z,Z,Z,Z,MS,MS,1.973,-2.789,N,8.878,356.011,0.00018,0.00244,0.01248,0.01492,0.16,0.0177,2.558,-2.526,100,7.795,359.157,0.157,4.207,4.36,Z,Z,MS,1.133,93.297,5.438,339.196
6534,30/09/2019 5:00,0.00043,0.01443,0.01485,0.155,0.01676,MS,MS,2.618,-2.855,N,8.903,345.314,0.00029,0.00228,0.01393,0.01621,0.145,0.01632,3.505,-2.587,100,8.113,345.409,0.184,4.45,4.632,0.113,25.829,MS,1.44,92.703,5.154,341.547
6535,30/09/2019 6:00,0.00062,0.01619,0.01681,0.174,0.01377,MS,MS,2.576,-2.941,N,9.91,335.996,0.00023,0.00628,0.02141,0.02769,0.219,0.00927,4.271,-2.677,100,7.841,339.929,0.625,8.365,8.989,0.131,21.622,MS,1.936,92.326,5.375,322.351
6536,30/09/2019 7:00,0.00096,0.01565,0.01661,0.186,0.01372,MS,MS,3.245,-3.003,N,9.582,341.195,0.00027,0.01453,0.02805,0.04258,0.239,0.00436,5.242,-2.642,100,7.828,339.398,0.549,7.58,8.129,0.141,22.004,MS,2.672,91.622,5.138,329.555
6537,30/09/2019 8:00,0.00281,0.01139,0.0142,0.181,0.01787,MS,MS,3.968,-2.937,N,10.718,342.802,0.00023,0.01278,0.01999,0.03278,0.219,0.011,6.966,-2.36,100.014,9.219,340.704,1.463,7.422,8.885,0.151,21.831,MS,3.399,90.619,5.813,315.45
6538,30/09/2019 9:00,0.00495,0.00927,0.01422,0.185,0.01942,MS,MS,4.601,-2.494,N,10.08,329.135,0.00018,0.00859,0.01105,0.01963,0.184,0.01833,6.174,-1.87,100.088,8.273,341.658,3.158,7.152,10.312,0.159,22.422,MS,4.454,89.031,4.662,291.194
6539,30/09/2019 10:00,0.00494,0.00768,0.01261,0.173,0.02203,MS,MS,3.97,-2.509,N,8.556,356.347,0.00016,0.01006,0.01021,0.02028,0.195,0.01922,5.879,-1.582,100.1,7.946,347.165,3.361,5.278,8.641,0.142,24.467,MS,5.614,87.107,5.025,295.818
6540,30/09/2019 11:00,0.00374,0.00485,0.00859,0.153,0.02503,MS,MS,3.262,-2.438,N,8.417,359.121,0.00009,0.00882,0.00674,0.01556,0.187,0.02293,4.937,-1.083,100.1,9.523,10.257,2.138,2.975,5.116,0.132,27.607,MS,2.941,80.179,5.425,336.498
6541,30/09/2019 12:00,0.00334,0.00341,0.00675,0.152,0.02744,MS,MS,3.102,-2.048,N,7.108,8.951,0.00016,0.00976,0.00598,0.01575,0.183,0.02391,3.64,-0.627,100.1,6.608,7.182,1.656,2.43,4.091,0.131,29.497,MS,3.407,76.261,3.738,338.409
6542,30/09/2019 13:00,0.00356,0.0032,0.00676,0.159,0.02923,MS,MS,3.253,-1.289,N,5.379,4.356,0.00023,0.00849,0.00534,0.01384,0.18,0.02573,4.021,0.583,99.012,3.923,30.347,1.608,2.236,3.85,0.127,31.239,MS,3.772,71.32,1.524,15.389
6543,30/09/2019 14:00,0.00338,0.00335,0.00672,0.162,0.03108,MS,MS,3.723,-1.089,N,4.723,18.487,0.00019,0.00793,0.00587,0.0138,0.17,0.02606,4.172,1.228,87.584,4.21,102.532,1.599,2.222,3.827,0.128,33.026,MS,4.285,66.789,2.024,79.365
6544,30/09/2019 15:00,0.0036,0.00477,0.00837,0.168,0.03048,MS,MS,4.483,-1.368,N,3.885,121.089,0.00012,0.00398,0.00206,0.00604,0.158,0.02928,3.994,1.043,85.163,7.468,131.965,1.639,2.633,4.281,0.129,33.576,MS,4.28,64.791,4.059,85.417
6545,30/09/2019 16:00,0.00372,0.00403,0.00774,0.169,0.0306,MS,MS,4.775,-0.952,N,7.847,97.74,0,0.00295,0.00092,0.00388,0.149,0.03028,3.134,0.822,84.274,7.654,123.367,4.142,5.764,9.915,0.166,32.349,MS,10.792,65.324,5.952,92.425
