6971,18/10/2022 10:00,0.0093,0.0159,0.0252,0.186,0.02123,MS,MS,13.302,15.521,21.228,6.674,338.682,0.00185,0.00974,0.016,0.02575,0.183,0.01828,11.224,13.376,24.43,9.426,274,3.756,9.428,13.183,0.145,25.105,MS,10.246,25.81,11.719,309.075
6972,18/10/2022 11:00,0.00567,0.01126,0.01692,0.182,0.02581,MS,MS,13.689,17.459,19.122,11.659,339.943,0.00441,0.01036,0.01557,0.02593,0.202,0.019,12.499,16.799,20.639,5.471,261.449,3.744,8.214,11.955,0.162,27.309,MS,10.812,21.772,11.108,302.242
6973,18/10/2022 12:00,0.0067,0.0131,0.0198,0.179,0.02601,MS,MS,15.472,19.991,15.956,7.745,343.11,0.00334,0.013,0.01976,0.03275,0.281,0.01916,15.275,20.015,16.67,3.043,293.524,3.55,8.161,11.704,0.134,29.677,MS,10.087,17.397,7.633,296.893
6974,18/10/2022 13:00,0.00417,0.01117,0.01534,0.193,0.03186,MS,MS,18.55,23.211,12.236,2.613,346.024,0.00153,0.00706,0.01779,0.02485,0.254,0.0293,18.725,22.972,11.332,4.341,322.103,2.762,7.635,10.393,0.139,34.98,MS,13.413,12.953,5.771,261.12
6975,18/10/2022 14:00,0.00321,0.01079,0.014,0.202,0.03657,MS,MS,22.771,24.465,10.541,2.195,9.196,0.00079,0.00545,0.01562,0.02108,0.205,0.03254,20.074,24.619,9.743,4.381,20.514,1.59,6.679,8.261,0.145,40.949,MS,20.276,10.707,1.887,118.767
6976,18/10/2022 15:00,0.00167,0.0076,0.00927,0.181,0.04143,MS,MS,23.487,24.503,9.782,2.575,68.542,0.00032,0.00271,0.01031,0.01304,0.185,0.0379,23.406,25.657,8.833,4.238,49.136,1.297,6.773,8.062,0.146,43.525,MS,22.567,9.796,4.03,120.251
6977,18/10/2022 16:00,0.0043,0.00835,0.01264,0.162,0.04547,MS,MS,26.752,24.437,9.509,3.035,114.902,0.00018,0.0009,0.00683,0.00772,0.172,0.04293,21.569,25.446,9.089,4.177,134.44,1.509,8.219,9.718,0.151,42.964,MS,20.624,9.395,3.468,132.933
6978,18/10/2022 17:00,0.00053,0.00914,0.00966,0.195,0.04119,MS,MS,29.625,23.251,10.804,5.479,120.51,0.00025,0.00257,0.02052,0.02307,0.265,0.02854,23.609,23.965,10.02,4.971,103.581,0.968,12.461,13.417,0.189,38.789,MS,19.655,9.913,3.121,120.236
6979,18/10/2022 18:00,0.00105,0.02566,0.0267,0.299,0.01953,MS,MS,34.796,20.547,14.276,4.337,116.25,0.00025,0.0061,0.0408,0.04691,0.411,0.00675,27.208,19.127,17.657,2.579,122.755,0.608,21.099,21.695,0.297,28.732,MS,20.883,12.967,3.465,117.497
6980,18/10/2022 19:00,0.00078,0.02977,0.03055,0.363,0.01275,MS,MS,22.782,15.774,23.518,0.946,140.846,0.00023,0.00433,0.03669,0.04102,0.426,0.00603,27.197,14.909,23.897,1.373,157.536,1.87,34.413,36.27,0.49,10.298,MS,22.789,22.601,0.036,178.062
6981,18/10/2022 20:00,0.02154,0.03799,0.05952,0.577,0.00479,MS,MS,23.819,12.608,35.335,1.476,64.501,0.00045,0.00475,0.03615,0.04089,0.344,0.00613,24.377,14.34,22.892,1.544,250.469,12.545,39.829,52.36,0.697,3.478,MS,25.308,30.644,1.237,19.809
6982,18/10/2022 21:00,0.05061,0.03883,0.08946,0.793,0.00316,MS,MS,24.844,9.916,48.361,0.501,31.227,0.00051,0.01073,0.03892,0.04965,0.367,0.00164,24.881,12.367,29.367,0.784,239.158,10.768,40.102,50.853,0.731,2.306,MS,26.848,35.095,1.469,324.758
6983,18/10/2022 22:00,0.07218,0.03702,0.10918,0.888,0.00266,MS,MS,25.72,8.691,63.914,0.896,10.886,0.00133,0.02543,0.04069,0.06612,0.476,0.00108,30.095,11.082,31.256,2.413,276.077,11.736,38.687,50.406,0.651,1.779,MS,21.667,39.53,2.227,306.14
6984,18/10/2022 23:00,0.12043,0.03958,0.16,1.103,0.00213,MS,MS,29.095,7.215,65.55,1.198,12.35,0.00065,0.02009,0.0365,0.05659,0.458,0.00311,27.78,10.206,33.902,4.981,266.565,2.645,29.081,31.707,0.328,9.481,MS,21.828,35.764,5.815,305.977
6985,19/10/2022 0:00,0.1042,0.0356,0.1398,1.057,0.00112,MS,MS,25.336,5.95,80.719,1.627,334.061,0.00036,0.00377,0.02702,0.03079,0.281,0.00926,24.346,9.061,35.721,4.347,266.976,0.208,20.803,20.992,0.242,14.149,MS,20.752,36.331,6.159,305.307
6986,19/10/2022 1:00,0.08723,0.0337,0.12092,0.92,0.00099,MS,MS,23.291,5.103,78.23,0.853,0.17,0.00041,0.00084,0.01619,0.01703,0.214,0.0168,21.792,8.086,36.889,5.738,257.918,0.043,13.117,13.139,0.173,19.631,MS,15.655,34.161,6.975,316.834
6987,19/10/2022 2:00,0.07865,0.03119,0.10984,0.796,0.00092,MS,MS,22.185,4.341,84.356,1.684,336.309,Z,Z,Z,Z,Z,Z,19.517,6.848,39.181,7.008,269.41,0.039,11,11.017,0.153,20.593,MS,14.034,35.797,8.169,318.464
6988,19/10/2022 3:00,0.00964,0.02842,0.03806,0.293,0.00158,MS,MS,16.495,5.486,53.721,2.228,338.132,0.00214,0.00553,0.02072,0.02625,0.184,0.0125,19.281,6.523,40.178,7.459,265.947,0.133,14.044,14.153,0.155,16.869,MS,14.95,39.437,9.077,305.63
6989,19/10/2022 4:00,Z,Z,Z,Z,Z,MS,MS,14.996,5.347,50.566,1.691,2.173,0.00142,0.00638,0.02063,0.027,0.174,0.01025,18.576,5.953,43.513,7.333,265.808,Z,Z,Z,Z,Z,MS,15.581,40.144,9.097,301.971
6990,19/10/2022 5:00,0.00243,0.02861,0.03105,0.218,0.00133,MS,MS,14.764,3.332,58.078,0.815,311.207,0.00104,0.00113,0.01471,0.01584,0.164,0.01416,18.14,5.016,44.029,7.602,256.128,0.086,12.445,12.509,0.154,18.868,MS,16.313,41.153,9.959,307.03
6991,19/10/2022 6:00,0.01614,0.02889,0.04503,0.233,0.00094,MS,MS,15.844,2.915,64.255,1.144,211.825,0.001,0.00344,0.02081,0.02425,0.208,0.01004,19.519,4.701,43.53,8.14,266.771,0.171,13.591,13.741,0.168,17.404,MS,18.736,42.728,8.817,309.888
6992,19/10/2022 7:00,0.06231,0.03516,0.09746,0.398,0.00074,MS,MS,18.785,2.968,78.888,1.4,316.801,0.00106,0.02206,0.03096,0.05302,0.32,0.0029,22.681,4.441,45.745,5.728,266.766,0.323,15.901,16.204,0.19,14.324,MS,20.229,47.467,9.324,303.823
6993,19/10/2022 8:00,0.06354,0.03482,0.09836,0.531,0.00104,MS,MS,22.075,4.701,62.467,2.9,357.014,0.00126,0.04698,0.03402,0.081,0.472,0.00191,27.339,4.664,48.356,7.33,268.645,3.635,19.51,23.128,0.215,12.104,MS,21.029,46.273,10.696,308.577
6994,19/10/2022 9:00,0.04504,0.03115,0.07618,0.609,0.00419,MS,MS,23.441,9.039,43.384,1.09,326.486,0.00124,0.02394,0.02606,0.05,0.367,0.00767,26.536,7.503,39.822,9.039,273.875,4.905,15.386,20.279,0.222,18.203,MS,21.827,39.219,9.695,305.687
6995,19/10/2022 10:00,0.04233,0.03351,0.07584,0.423,0.00766,MS,MS,26.454,13.879,28.228,1.479,275.19,0.00113,0.0171,0.0213,0.0384,0.321,0.01304,27.395,11.648,30.464,5.825,258.29,7.827,16.446,24.258,0.251,18.763,MS,22.97,33.817,8.41,304.937
6996,19/10/2022 11:00,0.03565,0.0315,0.06715,0.373,0.01073,MS,MS,26.716,15.532,23.172,2.405,284.88,0.00119,0.01364,0.01982,0.03346,0.302,0.01525,23.814,14.339,24.592,3.596,234.7,8.95,15.533,24.477,0.236,22.126,MS,21.787,26.871,7.509,307.84
6997,19/10/2022 12:00,0.02326,0.02746,0.05072,0.344,0.01797,MS,MS,24.708,18.822,18.021,3.332,269.249,0.00103,0.01095,0.01695,0.02789,0.266,0.02102,22.279,18.498,17.965,3.376,214.862,5.233,10.992,16.217,0.22,30.199,MS,19.101,19.442,6.095,300.13
6998,19/10/2022 13:00,0.01379,0.02312,0.03691,0.312,0.02687,MS,MS,20.753,21.358,13.852,4.559,192.962,0.0005,0.0061,0.01324,0.01933,0.22,0.02799,16.818,22.181,12.559,4.31,173.101,1.642,5.449,7.085,0.174,41.469,MS,15.18,12.843,6.289,274.588
6999,19/10/2022 14:00,0.00559,0.01378,0.01937,0.214,0.03346,MS,MS,15.414,22.616,11.562,5.436,177.709,0.00024,0.00114,0.00465,0.00579,0.154,0.0412,14.139,24.208,9.117,4.984,171.757,1.623,6.481,8.091,0.156,42.585,MS,14.151,10.497,3.363,244.723
7000,19/10/2022 15:00,0.00241,0.00949,0.0119,0.179,0.04042,MS,MS,14.809,23.935,9.506,3.582,174.127,0.00019,0.00084,0.00462,0.00546,0.151,0.04364,14.491,25.098,8.244,4.245,158.126,0.407,2.316,2.714,0.124,46.935,MS,14.293,7.477,11.067,292.158
7001,19/10/2022 16:00,0.01388,0.02046,0.03433,0.198,0.0335,MS,MS,17.158,24.467,9.502,2.477,177.124,0.00025,0.00077,0.00621,0.00698,0.156,0.04233,14.816,25.329,8.083,4.133,144.175,0.602,2.374,2.968,0.119,46.738,MS,15.061,7.459,12.171,294.971
7002,19/10/2022 17:00,0.00076,0.00968,0.01044,0.209,0.03825,MS,MS,21.628,24.288,8.49,9.175,303.84,0.00031,0.00094,0.01418,0.0151,0.232,0.0335,20.201,24.39,9.277,1.505,167.482,0.48,7.227,7.7,0.127,40.334,MS,14.909,8.693,8.047,301.143
7003,19/10/2022 18:00,0.00006,0.01306,0.01312,0.227,0.03334,MS,MS,21.208,22.114,9.886,8.413,306.868,0.0003,0.00294,0.02787,0.03077,0.469,0.01745,22.204,20.413,13.486,1.865,225.426,0.122,8.142,8.259,0.158,38.089,MS,14.545,10.671,5.788,314.337
7004,19/10/2022 19:00,0.00098,0.0293,0.03028,0.332,0.0157,MS,MS,21.017,18.985,14.177,0.991,127.777,0.00061,0.00456,0.03807,0.0426,0.368,0.00911,23.018,18.618,14.513,2.689,292.954,0.023,9.169,9.188,0.168,35.634,MS,15.492,12.696,5.918,296.318
7005,19/10/2022 20:00,0.00237,0.03623,0.0386,0.47,0.00442,MS,MS,21.256,14.765,23.489,1.205,68.734,0.00059,0.02331,0.04599,0.06932,0.494,0.00098,33.107,14.979,21.273,2.384,172.3,0.005,8.082,8.083,0.164,35.555,MS,14.739,14.114,6.067,294.269
7006,19/10/2022 21:00,0.01386,0.03899,0.05285,0.532,0.00295,MS,MS,20.919,13.172,24.514,1.755,158.477,0.00053,0.00902,0.03829,0.04732,0.355,0.00726,26.112,16.194,16.901,5.113,267.281,0.014,7.735,7.747,0.167,35.125,MS,14.604,15.098,4.511,298.059
7007,19/10/2022 22:00,0.00642,0.0219,0.02832,0.322,0.02095,MS,MS,19.844,15.779,19.775,6.629,337.528,0.00135,0.00571,0.03862,0.04433,0.376,0.00277,23.724,13.356,24.385,2.207,252.207,0.053,12.462,12.514,0.215,27.5,MS,15.807,18.634,2.585,303.846
7008,19/10/2022 23:00,0.00124,0.01909,0.02036,0.23,0.02438,MS,MS,19.781,15.668,18.356,2.158,325.727,0.00053,0.00323,0.02762,0.03085,0.315,0.01221,22.646,13.806,21.097,4.263,262.46,0.369,18.79,19.159,0.267,19.279,MS,17.025,23.167,2.286,319.765
7009,20/10/2022 0:00,0.00752,0.03007,0.03756,0.27,0.01074,MS,MS,21.223,13.129,26.894,1.096,115.095,0.00023,0.00062,0.02157,0.02219,0.261,0.01577,25.106,13.079,24.943,2.231,276.965,0.045,12.434,12.481,0.204,27.861,MS,18.086,20.513,5.161,322.122
7010,20/10/2022 1:00,0.02486,0.03634,0.06122,0.343,0.00212,MS,MS,21.491,11.71,35.544,1.116,75.746,0.00029,0.00073,0.02055,0.02128,0.264,0.01393,24.044,12.037,28.885,2.503,249,0.026,5.393,5.421,0.172,34.724,MS,15.306,20.665,5.447,316.925
7011,20/10/2022 2:00,0.00807,0.03349,0.04156,0.316,0.00356,MS,MS,21.117,11.971,31.259,1.338,210.117,Z,Z,Z,Z,Z,Z,23.324,12.884,26.985,1,231.019,0.012,4.897,4.913,0.164,34.615,MS,13.224,21.919,3.362,298.779
7012,20/10/2022 3:00,0.02087,0.03545,0.05634,0.324,0.00212,MS,MS,21.192,10.944,38.596,3.283,191.544,0.00064,0.00157,0.02249,0.02406,0.208,0.01265,21.125,12.33,29.417,2.846,239.06,0.105,8.374,8.484,0.181,27.493,MS,13.47,28.613,2.17,317.618
7013,20/10/2022 4:00,Z,Z,Z,Z,Z,MS,MS,20.183,9.851,48.578,0.538,93.234,0.00077,0.0006,0.02126,0.02186,0.215,0.01124,20.389,11.549,34.31,0.055,158.694,Z,Z,Z,Z,Z,MS,13.23,31.83,4.784,299.912
7014,20/10/2022 5:00,0.03605,0.03264,0.0687,0.358,0.00141,MS,MS,20.074,9.194,50.212,0.464,15.421,0.00083,0.01117,0.02781,0.03898,0.25,0.00587,28.785,11.283,34.301,2.183,266.062,0.073,13.706,13.784,0.208,23.705,MS,19.481,29.178,5.242,301.089
7015,20/10/2022 6:00,0.07058,0.03616,0.10664,0.367,0.00183,MS,MS,19.516,9.221,50.609,0.497,184.518,0.00054,0.00507,0.02862,0.03369,0.285,0.00632,20.41,12.213,32.138,4.885,252.201,0.571,16.317,16.896,0.24,19.279,MS,15.499,33.008,3.681,301.119
7016,20/10/2022 7:00,0.07735,0.03956,0.117,0.459,0.0027,MS,MS,20.725,9.223,52.956,0.548,172.24,0.00077,0.00529,0.02567,0.03097,0.281,0.00949,19.607,12.334,29.921,6.929,249.832,1.499,19.667,21.162,0.302,17.055,MS,13.831,31.725,4.107,313.095
7017,20/10/2022 8:00,0.01628,0.01601,0.0323,0.278,0.02271,MS,MS,16.346,11.881,39.88,24.194,17.824,0.00045,0.0158,0.02314,0.03894,0.271,0.01506,94.065,12.382,34.168,17.396,5.572,0.395,6.35,6.772,0.189,33.3,MS,8.592,38.102,19.028,21.755
7018,20/10/2022 9:00,0.00055,0.00455,0.0051,0.127,0.03918,MS,MS,4.778,9.279,54.239,28.392,10.502,0.00029,0.00246,0.00992,0.01238,0.134,0.031,49.737,9.923,48.51,26.917,359.453,0.376,2.748,3.132,0.132,39.906,MS,1.225,53.695,17.001,13.303
7019,20/10/2022 10:00,0.00054,0.00303,0.00357,0.119,0.04141,MS,MS,2.762,8.694,60.75,28.476,4.233,0.00028,0.0024,0.009,0.01139,0.124,0.0338,24.74,9.1,56.13,23.408,358.859,0.442,2.381,2.83,0.13,41.232,MS,-0.025,59.583,14.351,8.583
7020,20/10/2022 11:00,0.0005,0.00535,0.00585,0.139,0.03802,MS,MS,2.712,8.365,62.53,19.801,8.55,0.00031,0.00317,0.01069,0.01386,0.155,0.03107,10.632,8.904,58.357,18.955,4.043,0.307,2.069,2.384,0.125,40.534,MS,-0.46,63.499,12.237,9.691
7021,20/10/2022 12:00,0.0004,0.00342,0.00382,0.112,0.03996,MS,MS,2.301,7.608,65.618,22.508,3.867,0.00021,0.00255,0.00814,0.01069,0.137,0.03291,11.787,8.059,60.892,19.925,352.46,0.417,2.39,2.814,0.13,39.833,MS,-0.547,64.624,11.495,354.906
7022,20/10/2022 13:00,0.00041,0.00284,0.00325,0.112,0.03883,MS,MS,2.144,8.438,58.812,14.336,345.565,0.00021,0.00242,0.00791,0.01033,0.134,0.03238,4.392,8.694,56.057,13.017,339.147,0.393,2.057,2.458,0.125,40.103,MS,-0.41,59.308,11.804,336.106
7023,20/10/2022 14:00,0.00031,0.00204,0.00235,0.11,0.04029,MS,MS,2.277,9.657,47.752,10.631,351.625,0.0002,0.00263,0.00796,0.01059,0.136,0.03243,3.762,9.669,47.276,9.918,333.413,0.491,2.096,2.595,0.123,40.59,MS,-0.337,49.617,10.576,335.625
7024,20/10/2022 15:00,0.00063,0.00259,0.00322,0.113,0.03979,MS,MS,2.193,10.369,41.499,5.529,344.811,0.00015,0.00172,0.00732,0.00904,0.138,0.03319,4.574,10.251,42.121,6.85,350.998,0.55,2.406,2.965,0.125,40.596,MS,-0.215,43.639,3.996,338.812
7025,20/10/2022 16:00,0.00112,0.0045,0.00562,0.123,0.03839,MS,MS,2.678,10.946,37.156,2.368,24.91,0.00016,0.00192,0.00795,0.00987,0.154,0.03298,4.5,11.453,36.7,0.87,11.768,0.91,2.382,3.301,0.126,41.128,MS,-0.215,37.727,2.542,55.804
7026,20/10/2022 17:00,0.00034,0.00455,0.00489,0.12,0.03832,MS,MS,3.1,10.735,36.027,0.905,109.504,0.0001,0.00117,0.01049,0.01166,0.151,0.02981,4.038,10.422,39.715,4.748,157.567,0.417,3.098,3.525,0.123,40.455,MS,-0.306,37.87,3.773,94.331
7027,20/10/2022 18:00,0.00023,0.01499,0.01522,0.188,0.02593,MS,MS,4.861,9.125,41.977,2.476,174.203,0.00011,0.00057,0.01684,0.01741,0.204,0.02108,4.393,8.539,49.724,4.352,172.884,0.501,10.863,11.374,0.198,31.601,MS,0.483,45.176,3.122,205.98
7028,20/10/2022 19:00,0.00073,0.02906,0.02979,0.276,0.00908,MS,MS,4.629,7.279,53.577,3.076,195.683,0.00017,0.00091,0.02641,0.02732,0.283,0.01067,5.461,7.5,61.315,4.232,198.288,0.298,17.391,17.699,0.254,21.776,MS,1.167,57.52,1.321,188.838
7029,20/10/2022 20:00,0.00197,0.03194,0.03391,0.324,0.00396,MS,MS,5.095,6.552,63.125,4.087,192.77,0.00022,0.00053,0.02449,0.02502,0.265,0.01289,5.13,6.974,60.079,4.967,199.116,0.683,12.63,13.323,0.208,27.727,MS,0.66,58.603,4.265,196.604
7030,20/10/2022 21:00,0.00378,0.03099,0.03478,0.299,0.00614,MS,MS,5.922,6.319,64.619,3.826,217.63,0.00049,0.00078,0.02026,0.02106,0.204,0.01449,5.037,6.112,63.332,5.858,223.108,0.191,10.697,10.898,0.182,29.191,MS,0.454,58.313,3.555,183.048
7031,20/10/2022 22:00,0.00093,0.02616,0.02709,0.281,0.00813,MS,MS,4.244,6.308,65.622,3.43,186.539,0.00031,0.00012,0.01278,0.0129,0.169,0.01974,4.802,6.105,65.086,3.406,204.779,0.799,10.036,10.845,0.161,30.308,MS,0.521,57.935,4.91,207.443
7032,20/10/2022 23:00,0.00618,0.02234,0.02852,0.236,0.0088,MS,MS,5.302,5.84,71.652,1.63,106.041,0.00038,0.0003,0.01339,0.0137,0.166,0.01962,4.634,5.944,65.236,2.429,238.6,0.204,7.633,7.847,0.151,31.177,MS,0.43,59.492,2.05,203.235
7033,21/10/2022 0:00,0.00087,0.0265,0.02736,0.252,0.00458,MS,MS,3.66,5.196,76.209,1.532,128.928,0.00027,0.0006,0.0158,0.0164,0.262,0.014,4.992,5.751,69.789,1.702,136.08,0.057,7.657,7.724,0.147,30.743,MS,0.424,61.399,2.199,167.701
7034,21/10/2022 1:00,0.00209,0.02753,0.02962,0.264,0.00225,MS,MS,4.076,4.945,91.779,1.554,355.95,0.00012,0.00245,0.02149,0.02394,0.267,0.01087,5.268,5.613,73.827,1.337,328.373,0.207,14.979,15.197,0.201,18.284,MS,0.913,66.849,0.958,323.719
7035,21/10/2022 2:00,0.00719,0.02858,0.03577,0.273,0.00043,MS,MS,5.528,4.929,97.269,0.809,73.816,Z,Z,Z,Z,Z,Z,6.411,5.778,71.359,1.189,342.022,0.095,14.707,14.813,0.236,15.654,MS,0.916,72.458,2.218,292.401
7036,21/10/2022 3:00,0.01552,0.03206,0.04758,0.278,0.00128,MS,MS,5.822,5.543,81.564,5.248,344.747,0.00032,0.00967,0.03564,0.0453,0.229,0.00076,7.702,5.813,74.531,2.128,290.613,0.059,9.027,9.098,0.153,21.299,MS,0.629,74.104,4.543,307.702
7037,21/10/2022 4:00,Z,Z,Z,Z,Z,MS,MS,4.486,5.775,76.71,13.605,355.376,0.00031,0.01192,0.02678,0.0387,0.214,0.00876,7.764,6.288,72.924,8.893,348.439,Z,Z,Z,Z,Z,MS,0.871,74.782,10.14,343.682
7038,21/10/2022 5:00,0.00001,0.00368,0.00369,0.118,0.0314,MS,MS,3.474,4.418,92.002,19.423,7.49,0.00018,0.00079,0.00708,0.00787,0.126,0.02523,4.31,5.227,91.856,14.864,352.239,0.163,2.158,2.332,0.113,34.801,MS,0.102,76.891,11.385,12.7
7039,21/10/2022 6:00,0.00016,0.00517,0.00533,0.127,0.02929,MS,MS,3.387,3.534,99.829,15.437,12.784,0.00015,0.00374,0.00995,0.01369,0.132,0.02431,3.782,3.953,99.806,15.357,1.831,0.159,2.777,2.945,0.12,33.064,MS,0.169,81.511,7.794,0.751
7040,21/10/2022 7:00,0.0001,0.00664,0.00674,0.138,0.02631,MS,MS,3.946,2.767,99.671,13.517,357.296,0.00014,0.00451,0.01568,0.0202,0.149,0.0187,6.452,3.295,99.683,12.59,354.994,0.11,3.993,4.112,0.124,31.964,MS,0.395,84.762,5.093,339.287
7041,21/10/2022 8:00,0.0003,0.00964,0.00994,0.147,0.022,MS,MS,4.288,2.341,99.594,12.35,357.559,0.00006,0.00277,0.01855,0.02132,0.167,0.01518,7.056,2.713,99.6,9.298,352.652,0.213,4.61,4.831,0.133,30.432,MS,0.897,86.664,7.398,346.854
7042,21/10/2022 9:00,0.00043,0.00828,0.00871,0.151,0.022,MS,MS,4.172,2.408,99.6,11.052,357.954,0.00007,0.00377,0.01855,0.02231,0.165,0.01448,8.989,2.925,99.623,9.65,357.415,0.292,4.38,4.678,0.134,30.427,MS,1.325,86.722,6.481,18.243
7043,21/10/2022 10:00,0.0012,0.01191,0.01311,0.174,0.0186,MS,MS,3.543,2.641,99.669,6.655,5.041,0.00006,0.00347,0.01685,0.02032,0.171,0.01504,8.11,2.928,99.611,7.418,10.064,0.549,4.766,5.321,0.147,29.995,MS,2.384,85.334,4.22,11.315
7044,21/10/2022 11:00,0.00188,0.01074,0.01262,0.172,0.02263,MS,MS,4.142,3.269,99.767,4.856,6.794,0.00009,0.00559,0.01561,0.0212,0.163,0.01729,8.104,3.12,99.659,5.372,43.036,1.078,5.095,6.18,0.145,31.287,MS,2.199,82.346,3.91,27.077
7045,21/10/2022 12:00,0.00285,0.00914,0.01199,0.186,0.02432,MS,MS,4.313,4.141,99.89,0.203,109.374,0.0001,0.0039,0.01175,0.01566,0.152,0.02163,8.261,4.094,99.75,2.311,89.533,1.27,4.982,6.256,0.142,32.422,MS,2.507,77.293,0.162,80.828
7046,21/10/2022 13:00,0.00268,0.00884,0.01152,0.187,0.0256,MS,MS,5.025,4.867,92.689,1.012,171.917,0.00017,0.00422,0.01027,0.0145,0.159,0.02287,10.655,5.207,98.419,2.336,180.084,1.816,6.201,8.012,0.156,32.988,MS,2.893,70.603,2.541,185.743
7047,21/10/2022 14:00,0.00381,0.01204,0.01585,0.195,0.02463,MS,MS,6.526,5.031,82.903,3.948,181.799,0.00011,0.00246,0.0086,0.01106,0.161,0.02266,10.534,4.847,95.899,7.059,199.815,3.158,9.006,12.164,0.177,29.722,MS,6.511,69.062,4.157,216.428
7048,21/10/2022 15:00,0.00371,0.01247,0.01619,0.2,0.0219,MS,MS,6.71,5.185,83.304,6.109,186.186,0.00016,0.00288,0.0075,0.01038,0.168,0.02324,10.645,5.767,93.205,8.787,185.868,2.17,11.76,13.92,0.187,27.969,MS,6.794,66.152,3.265,175.761
7049,21/10/2022 16:00,0.00157,0.00871,0.01028,0.18,0.02309,MS,MS,6.598,4.91,85.921,7.42,202.328,0.0001,0.00114,0.00682,0.00797,0.161,0.02511,8.974,5.207,87.543,8.927,174.824,1.402,9.237,10.651,0.18,26.61,MS,5.568,72.53,7.794,196.209
7050,21/10/2022 17:00,0.00093,0.00788,0.00882,0.166,0.0232,MS,MS,7.265,4.51,89.14,7.691,204.248,0.00009,0.00075,0.00745,0.0082,0.167,0.0216,7.978,4.461,100.072,9.108,197.954,1.559,9.645,11.203,0.173,25.199,MS,6.537,75.759,8.039,212.792
7051,21/10/2022 18:00,0.0002,0.00785,0.00805,0.159,0.02213,MS,MS,7.698,4.008,98.418,6.2,200.648,0.00009,0.0002,0.00692,0.00713,0.157,0.02122,7.653,3.993,99.881,6.686,205.314,1.196,8.276,9.47,0.164,25.625,MS,6.021,77.289,6.501,210.301
7052,21/10/2022 19:00,0.0004,0.00841,0.00881,0.168,0.02056,MS,MS,7.631,3.7,99.929,5.613,196.005,0.00005,0.00011,0.00774,0.00784,0.165,0.01967,7.941,3.793,99.743,6.662,171.179,0.635,7.731,8.363,0.16,25.542,MS,5.599,78.704,5.371,201.322
7053,21/10/2022 20:00,0.00051,0.00847,0.00897,0.161,0.02005,MS,MS,8.002,3.547,99.846,4.6,205.291,0.00006,0.00011,0.00602,0.00613,0.158,0.02115,9.852,3.554,99.705,6.265,160.219,0.535,5.91,6.441,0.159,27.136,MS,4.968,80.427,4.389,195.072
7054,21/10/2022 21:00,0.00004,0.00767,0.00771,0.169,0.0203,MS,MS,8.475,3.222,99.725,3.129,222.333,0.00005,0.00009,0.00812,0.00821,0.168,0.0186,9.193,3.426,99.686,4.244,178.418,0.118,6.05,6.163,0.166,26.928,MS,6.567,85.318,3.931,156.405
7055,21/10/2022 22:00,0.00004,0.00685,0.00689,0.162,0.022,MS,MS,7.303,3.106,99.7,1.639,182.87,0.00003,0.00004,0.00499,0.00503,0.154,0.01989,8.568,2.983,99.573,6.319,163.57,0.053,6.062,6.109,0.162,28.602,MS,6.519,86.567,0.834,129.88
7056,21/10/2022 23:00,0.00013,0.00742,0.00755,0.163,0.01872,MS,MS,6.765,2.526,99.599,3.493,201.754,0,0.00009,0.00579,0.00588,0.152,0.0211,7.815,1.512,99.5,4.326,185.158,0.209,7.896,8.098,0.16,26.932,MS,6.326,88.853,4.624,73.106
7057,22/10/2022 0:00,0.00005,0.00608,0.00613,0.146,0.02252,MS,MS,5.265,1.493,99.556,2.802,202.751,0.00001,0.0001,0.00783,0.00793,0.154,0.01913,7.2,1.117,99.494,0.501,359.614,0.397,7.193,7.582,0.158,20.203,MS,4.148,92.047,2.236,50.686
7058,22/10/2022 1:00,0.00006,0.00815,0.00821,0.152,0.02041,MS,MS,4.653,0.722,99.518,4.388,2.317,0.00001,0.0012,0.01547,0.01665,0.16,0.0143,7.798,0.74,99.498,4.076,4.365,0.298,4.003,4.292,0.123,26.357,MS,0.095,93.267,6.849,8.349
7059,22/10/2022 2:00,0.00005,0.0055,0.00555,0.126,0.02316,MS,MS,2.334,0.407,99.5,9.181,10.06,Z,Z,Z,Z,Z,Z,8.413,0.484,99.5,8.36,8.852,0.326,3.159,3.476,0.107,29.589,MS,-0.874,94.276,9.351,19.667
7060,22/10/2022 3:00,0.00005,0.00413,0.00417,0.122,0.02655,MS,MS,2.1,0.306,99.5,9.011,19.172,0,0.0005,0.00639,0.0069,0.112,0.02377,1.688,0.396,99.498,10.802,13.815,0.302,2.203,2.494,0.104,32.955,MS,-0.932,94.897,3.009,58.365
7061,22/10/2022 4:00,Z,Z,Z,Z,Z,MS,MS,1.932,0.215,99.5,9.808,22.682,0.00001,0.0003,0.00456,0.00486,0.108,0.02638,1.613,0.302,99.3,11.044,16.225,Z,Z,Z,Z,Z,MS,-0.939,95.252,N,N
7062,22/10/2022 5:00,0.00009,0.00442,0.00451,0.126,0.02881,MS,MS,1.809,0.2,99.506,9.751,20.518,0,0.00069,0.00583,0.00652,0.113,0.025,1.629,0.297,99.3,9.448,17.738,0.241,3.028,3.259,0.119,32.917,MS,-0.739,95.428,N,N
